epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9145,1.36459,3.75898,1.21686,0.0065,0.5072,0.01667,0.00525,1.02992,3.69844,1.05256,0,0,0
2,41.1029,1.36785,3.75639,1.23708,0.0057,0.4591,0.01368,0.00522,1.03746,3.69201,1.05366,1.42193e-05,1.42193e-05,1.42193e-05
3,43.3644,1.3692,3.7525,1.22828,0.0057,0.4591,0.01305,0.00518,1.036,3.68585,1.05157,2.82971e-05,2.82971e-05,2.82971e-05
4,45.6781,1.37444,3.76492,1.21603,0.00559,0.44799,0.01473,0.00612,1.03764,3.68012,1.0499,4.22334e-05,4.22334e-05,4.22334e-05
5,47.9269,1.34531,3.74795,1.21806,0.00593,0.46154,0.01414,0.00574,1.03756,3.67896,1.049,5.60282e-05,5.60282e-05,5.60282e-05
6,50.0148,1.37886,3.76067,1.2188,0.0057,0.44921,0.01388,0.00583,1.03686,3.67296,1.0474,6.96816e-05,6.96816e-05,6.96816e-05
7,52.1869,1.3607,3.74586,1.2231,0.00606,0.45287,0.01574,0.00699,1.04059,3.67262,1.04791,8.31935e-05,8.31935e-05,8.31935e-05
8,54.3014,1.37156,3.75421,1.21696,0.00629,0.45531,0.01618,0.00731,1.04237,3.66928,1.04685,9.6564e-05,9.6564e-05,9.6564e-05
9,56.547,1.37181,3.7644,1.22281,0.01033,0.66252,0.07688,0.04993,1.06456,3.54074,1.0055,0.000109793,0.000109793,0.000109793
10,58.9992,1.20128,3.50714,1.09134,0.02059,0.77656,0.2748,0.1952,1.09142,3.46339,0.98242,0.00012288,0.00012288,0.00012288
11,61.292,1.13504,3.33603,1.01802,0.02891,0.84249,0.41921,0.33182,0.97261,3.39811,0.93534,0.000135826,0.000135826,0.000135826
12,63.6375,1.08903,3.16664,0.97236,0.03059,0.89499,0.4897,0.38691,0.95217,3.37601,0.92168,0.000148631,0.000148631,0.000148631
13,66.1176,1.08359,3.01911,0.96067,0.03298,0.94505,0.56712,0.43742,0.93411,3.35804,0.90953,0.000161294,0.000161294,0.000161294
14,68.4763,1.0474,2.88794,0.93718,0.03419,0.96581,0.62025,0.48571,0.90832,3.35754,0.90595,0.000173816,0.000173816,0.000173816
15,70.8524,1.0179,2.737,0.92525,0.03376,0.96825,0.64232,0.50208,0.88882,3.33612,0.89845,0.000186196,0.000186196,0.000186196
16,73.2627,0.98362,2.56992,0.92174,0.03381,0.97924,0.65816,0.52237,0.86197,3.31517,0.88923,0.000198435,0.000198435,0.000198435
17,75.7065,0.9684,2.46854,0.90823,0.03385,0.98291,0.65482,0.51697,0.86455,3.29674,0.88972,0.000210532,0.000210532,0.000210532
18,78.0831,0.96252,2.31515,0.91406,0.03373,0.98168,0.65174,0.51372,0.877,3.28063,0.8894,0.000222487,0.000222487,0.000222487
19,80.4385,0.97109,2.22911,0.91048,0.03421,0.97924,0.65627,0.51723,0.86451,3.26021,0.88505,0.000234302,0.000234302,0.000234302
20,82.7857,0.93824,2.05407,0.9085,0.03336,0.96581,0.66074,0.52774,0.84102,3.24283,0.88127,0.000245974,0.000245974,0.000245974
21,85.0953,0.96529,1.95074,0.90741,0.03202,0.94383,0.64889,0.51492,0.84322,3.23145,0.8835,0.000257506,0.000257506,0.000257506
22,87.4184,0.95348,1.84024,0.90911,0.03161,0.93895,0.64122,0.51107,0.85871,3.22663,0.88577,0.000268896,0.000268896,0.000268896
23,89.8817,0.97686,1.70926,0.909,0.03104,0.93651,0.68138,0.54792,0.84985,3.2164,0.88468,0.000280144,0.000280144,0.000280144
24,92.3114,0.98802,1.62575,0.91095,0.03084,0.94017,0.72298,0.60337,0.85969,3.21249,0.88758,0.000291251,0.000291251,0.000291251
25,94.6963,0.96783,1.49094,0.91182,0.03149,0.94872,0.73991,0.62051,0.8306,3.20052,0.88223,0.000302216,0.000302216,0.000302216
26,97.1479,0.94352,1.37154,0.90538,0.03035,0.93284,0.73258,0.61083,0.83161,3.19496,0.88205,0.00031304,0.00031304,0.00031304
27,99.5667,0.96394,1.2927,0.9117,0.02938,0.9243,0.72443,0.6013,0.85181,3.18523,0.88522,0.000323723,0.000323723,0.000323723
28,101.948,0.94548,1.20362,0.90704,0.02855,0.91087,0.7373,0.6208,0.82793,3.15687,0.88124,0.000334264,0.000334264,0.000334264
29,104.249,0.9383,1.15943,0.90635,0.03023,0.9304,0.75043,0.64556,0.83448,3.12999,0.88326,0.000344663,0.000344663,0.000344663
30,106.728,0.92438,1.0485,0.91557,0.03056,0.93284,0.78635,0.66261,0.79675,3.09229,0.87183,0.000354921,0.000354921,0.000354921
31,109.107,0.90291,0.99294,0.90713,0.03167,0.94994,0.80541,0.69404,0.82074,3.07151,0.87808,0.000365038,0.000365038,0.000365038
32,111.562,0.89248,0.94732,0.91096,0.03256,0.96459,0.82317,0.68919,0.816,3.03431,0.87865,0.000375013,0.000375013,0.000375013
33,113.969,0.88447,0.90512,0.90808,0.03319,0.97924,0.84489,0.69963,0.83336,3.00114,0.88228,0.000384847,0.000384847,0.000384847
34,116.42,0.89711,0.88312,0.91817,0.03315,0.98657,0.86565,0.71287,0.85669,2.97084,0.89343,0.000394539,0.000394539,0.000394539
35,119.048,0.87591,0.843,0.91267,0.03311,0.98535,0.89176,0.74932,0.81388,2.93999,0.88294,0.00040409,0.00040409,0.00040409
36,121.383,0.84705,0.80811,0.90582,0.03303,0.98535,0.89174,0.73966,0.85881,2.92833,0.8914,0.000413499,0.000413499,0.000413499
37,123.724,0.85743,0.77775,0.91441,0.03292,0.98168,0.89074,0.732,0.88035,2.92327,0.90091,0.000422767,0.000422767,0.000422767
38,126.054,0.85533,0.7674,0.91347,0.03355,0.98779,0.89794,0.77138,0.82062,2.88714,0.89072,0.000431893,0.000431893,0.000431893
39,128.378,0.85489,0.74466,0.91427,0.03312,0.98291,0.8911,0.74068,0.87006,2.87318,0.90502,0.000440878,0.000440878,0.000440878
40,131.008,0.81388,0.72123,0.91049,0.03272,0.96337,0.90394,0.7606,0.84805,2.84912,0.89816,0.000449721,0.000449721,0.000449721
41,133.42,0.81284,0.70917,0.90421,0.03306,0.97436,0.8962,0.75189,0.88,2.8497,0.90666,0.000458423,0.000458423,0.000458423
42,135.776,0.83461,0.71036,0.9092,0.34393,0.84236,0.8673,0.73175,0.92595,2.87899,0.93021,0.000466984,0.000466984,0.000466984
43,138.279,0.79386,0.67877,0.90383,0.92071,0.6742,0.86863,0.74295,0.84364,2.86138,0.90948,0.000475403,0.000475403,0.000475403
44,140.7,0.81951,0.67612,0.90119,0.98647,0.66667,0.86058,0.71872,0.91847,2.88053,0.93168,0.00048368,0.00048368,0.00048368
45,143.185,0.79806,0.66282,0.90426,0.99306,0.66667,0.86928,0.73303,0.97573,2.86727,0.95061,0.000491816,0.000491816,0.000491816
46,145.504,0.80212,0.65511,0.90604,0.99495,0.66667,0.89987,0.75208,0.89379,2.80693,0.92477,0.000499811,0.000499811,0.000499811
47,147.875,0.76697,0.64287,0.89921,0.9971,0.65581,0.91155,0.74801,0.8803,2.79064,0.91614,0.000507664,0.000507664,0.000507664
48,150.278,0.76341,0.63392,0.90205,0.99832,0.56526,0.91121,0.76719,0.91087,2.79364,0.93326,0.000515375,0.000515375,0.000515375
49,152.634,0.79507,0.64825,0.89892,0.9993,0.53561,0.92227,0.77529,0.88419,2.76059,0.92496,0.000522945,0.000522945,0.000522945
50,155.094,0.7479,0.62298,0.90144,0.99986,0.59154,0.94192,0.77495,0.82814,2.69927,0.89542,0.000530374,0.000530374,0.000530374
51,157.492,0.78495,0.62636,0.89818,0.99789,0.66162,0.95129,0.76578,0.88092,2.68709,0.90943,0.000537661,0.000537661,0.000537661
52,159.788,0.77989,0.6163,0.9013,0.99516,0.66667,0.96218,0.81527,0.88582,2.65052,0.91729,0.000544807,0.000544807,0.000544807
53,162.133,0.76566,0.60745,0.89401,0.99253,0.66667,0.96803,0.80879,0.8253,2.59054,0.90401,0.000551811,0.000551811,0.000551811
54,164.516,0.77985,0.61327,0.89526,0.99345,0.66805,0.96879,0.76838,0.87166,2.57583,0.90993,0.000558674,0.000558674,0.000558674
55,166.939,0.76389,0.60038,0.89674,0.99308,0.67043,0.96825,0.77625,0.85306,2.56269,0.90464,0.000565395,0.000565395,0.000565395
56,169.299,0.78098,0.60736,0.88966,0.99568,0.6704,0.96484,0.80696,0.8708,2.56842,0.9152,0.000571975,0.000571975,0.000571975
57,171.653,0.75661,0.59633,0.88891,0.99657,0.66821,0.96698,0.82089,0.81826,2.53722,0.90484,0.000578413,0.000578413,0.000578413
58,174.065,0.76191,0.59384,0.89485,0.99602,0.66985,0.97098,0.82161,0.78135,2.50116,0.89668,0.00058471,0.00058471,0.00058471
59,176.49,0.72748,0.57831,0.88504,0.99563,0.6699,0.97295,0.81517,0.82683,2.49081,0.9087,0.000590866,0.000590866,0.000590866
60,178.921,0.71464,0.56443,0.88872,0.99602,0.66666,0.97375,0.84885,0.76582,2.45228,0.89312,0.00059688,0.00059688,0.00059688
61,181.369,0.73115,0.58128,0.88861,0.99758,0.66336,0.97298,0.83236,0.78719,2.45678,0.89898,0.000602752,0.000602752,0.000602752
62,183.765,0.71546,0.56857,0.89315,0.99711,0.66667,0.97473,0.84996,0.75581,2.43032,0.88742,0.000608483,0.000608483,0.000608483
63,186.205,0.70379,0.57196,0.88055,0.99652,0.66667,0.97798,0.84534,0.79782,2.41389,0.90263,0.000614073,0.000614073,0.000614073
64,188.646,0.70479,0.56451,0.88625,0.99382,0.66667,0.97907,0.86269,0.74962,2.35217,0.88716,0.000619521,0.000619521,0.000619521
65,191.105,0.69299,0.55759,0.87917,0.99199,0.66667,0.97969,0.84713,0.77981,2.33223,0.89517,0.000624827,0.000624827,0.000624827
66,193.488,0.70231,0.55996,0.88062,0.9914,0.66667,0.97908,0.83764,0.80699,2.3349,0.90511,0.000629993,0.000629993,0.000629993
67,195.849,0.71429,0.5586,0.87956,0.98855,0.6682,0.97884,0.82974,0.77819,2.30912,0.89857,0.000635016,0.000635016,0.000635016
68,198.284,0.71562,0.56078,0.8784,0.98911,0.66863,0.9791,0.83665,0.76743,2.27995,0.90072,0.000639898,0.000639898,0.000639898
69,200.647,0.68995,0.54928,0.87965,0.9892,0.68397,0.98231,0.8675,0.72024,2.17483,0.87793,0.000644639,0.000644639,0.000644639
70,203.163,0.70412,0.54317,0.88079,0.98927,0.68969,0.98295,0.85948,0.7571,2.13685,0.88463,0.000649238,0.000649238,0.000649238
71,205.487,0.67917,0.53937,0.87389,0.98983,0.70036,0.98071,0.84533,0.74458,2.11402,0.8846,0.000653696,0.000653696,0.000653696
72,207.822,0.69148,0.5372,0.88037,0.99006,0.71655,0.98437,0.85809,0.7269,2.07807,0.88228,0.000658012,0.000658012,0.000658012
73,210.103,0.70162,0.54324,0.88015,0.99026,0.71908,0.98482,0.85835,0.74887,2.07946,0.88734,0.000662187,0.000662187,0.000662187
74,212.534,0.66472,0.53255,0.87663,0.99049,0.75422,0.98149,0.85447,0.71399,2.03963,0.87397,0.000666221,0.000666221,0.000666221
75,214.892,0.6982,0.52818,0.87969,0.99117,0.76153,0.98197,0.85783,0.71484,2.03135,0.87778,0.000670112,0.000670112,0.000670112
76,217.27,0.67845,0.52308,0.86888,0.99111,0.75046,0.98737,0.84517,0.78317,2.04378,0.90083,0.000673863,0.000673863,0.000673863
77,219.66,0.70131,0.52394,0.88789,0.98936,0.77702,0.9891,0.85457,0.72732,1.98298,0.87828,0.000677472,0.000677472,0.000677472
78,222.077,0.70327,0.5279,0.87426,0.98602,0.81161,0.98413,0.86345,0.68422,1.92866,0.8674,0.000680939,0.000680939,0.000680939
79,224.524,0.68705,0.51994,0.87479,0.98639,0.8235,0.98498,0.86454,0.71746,1.91519,0.87338,0.000684265,0.000684265,0.000684265
80,227.17,0.66938,0.51373,0.87163,0.98622,0.8472,0.98357,0.85133,0.72522,1.86753,0.87115,0.00068745,0.00068745,0.00068745
81,229.572,0.67287,0.51917,0.87341,0.9868,0.85086,0.98398,0.85935,0.69555,1.8578,0.86722,0.000690493,0.000690493,0.000690493
82,231.983,0.65414,0.51131,0.87135,0.98839,0.8481,0.98451,0.86345,0.69755,1.87081,0.87529,0.000693394,0.000693394,0.000693394
83,234.382,0.67119,0.50995,0.87153,0.98907,0.85363,0.98119,0.85321,0.6899,1.83663,0.87534,0.000696154,0.000696154,0.000696154
84,236.672,0.65384,0.50352,0.87037,0.98827,0.85585,0.98094,0.84198,0.72459,1.83835,0.87768,0.000698773,0.000698773,0.000698773
85,239.076,0.67944,0.50981,0.87173,0.98742,0.85639,0.98617,0.85063,0.75272,1.85187,0.88673,0.00070125,0.00070125,0.00070125
86,241.381,0.6806,0.51492,0.87177,0.98662,0.87531,0.98687,0.8682,0.70496,1.81522,0.88162,0.000703586,0.000703586,0.000703586
87,243.775,0.67851,0.51023,0.87209,0.98507,0.88149,0.98947,0.86187,0.67077,1.77489,0.87028,0.00070578,0.00070578,0.00070578
88,246.15,0.66393,0.49981,0.86344,0.98542,0.86686,0.98914,0.83427,0.75335,1.77038,0.89094,0.000707833,0.000707833,0.000707833
89,248.375,0.68236,0.50321,0.86862,0.984,0.87409,0.98629,0.84611,0.72365,1.73663,0.8887,0.000709744,0.000709744,0.000709744
90,250.774,0.6581,0.49448,0.8665,0.98404,0.8863,0.98692,0.86547,0.67129,1.69582,0.87393,0.000711514,0.000711514,0.000711514
91,253.125,0.65907,0.49317,0.8665,0.98198,0.88255,0.98668,0.85405,0.67838,1.69662,0.87805,0.000713142,0.000713142,0.000713142
92,255.397,0.64892,0.48864,0.8697,0.98086,0.88395,0.98692,0.85942,0.68247,1.68755,0.87884,0.000714629,0.000714629,0.000714629
93,257.704,0.64556,0.49116,0.86507,0.9814,0.89779,0.98545,0.86904,0.7095,1.65458,0.88269,0.000715975,0.000715975,0.000715975
